tag,family,topology,process,feature,seed,diffuse_frac,phi,pitch,depth,theta,rho,control,params_json
AZ_cone_p00_s23,cone3d,cone,n/a,,23,d00,0.0,5.5,50.0,0.0,0.0018333194311708212,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p00_s23,cone3d,cone,n/a,,23,d00,0.0,5.5,50.0,-20.0,0.0013565050903707743,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p00_s23,cone3d,cone,n/a,,23,d00,0.0,5.5,50.0,-40.0,0.0021020069252699614,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p00_s23,cone3d,cone,n/a,,23,d00,0.0,5.5,50.0,20.0,0.0013237159000709653,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p00_s23,cone3d,cone,n/a,,23,d00,0.0,5.5,50.0,40.0,0.002136221155524254,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p00_s23,cone3d,cone,n/a,,23,d76,0.0,5.5,50.0,0.0,0.0010301650036126375,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p00_s23,cone3d,cone,n/a,,23,d76,0.0,5.5,50.0,-20.0,0.0013391993707045913,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p00_s23,cone3d,cone,n/a,,23,d76,0.0,5.5,50.0,-40.0,0.0019758727867156267,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p00_s23,cone3d,cone,n/a,,23,d76,0.0,5.5,50.0,20.0,0.0013404780765995383,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
AZ_cone_p00_s23,cone3d,cone,n/a,,23,d76,0.0,5.5,50.0,40.0,0.002042066538706422,0.04999997094273567,"{""backing"": 2.0, ""depth"": 50.0, ""depth_jitter"": 0.0, ""face_h"": 60.0, ""face_w"": 60.0, ""height_seg"": 12, ""jitter"": 0.3, ""margin_depths"": 2.0, ""pitch"": 5.5, ""profile_power"": 1.0, ""radial_seg"": 24, ""seed"": 23, ""tip_radius"": 0.2}"
